date,description,debit,credit,balance
2025-01-01,إيجار,5000,0,35000
2025-01-08,تحويل من عميل - فاتورة,0,19017,54017
2025-01-10,رواتب الموظفين,10000,0,44017
2025-01-14,سداد مورّد,5941,0,38076
2025-01-18,فاتورة كهرباء ومياه,1243,0,36833
2025-01-19,مبيعات نقاط البيع,0,14209,51042
2025-01-26,سداد ضريبة القيمة المضافة,3229,0,47813
2025-01-28,سداد قسط تمويل,8000,0,39813
2025-02-01,إيجار,5000,0,34813
2025-02-08,تحويل من عميل - فاتورة,0,18111,52924
2025-02-10,رواتب الموظفين,10000,0,42924
2025-02-14,سداد مورّد,5589,0,37335
2025-02-18,فاتورة كهرباء ومياه,1156,0,36179
2025-02-19,مبيعات نقاط البيع,0,12002,48181
2025-02-28,سداد قسط تمويل,8000,0,40181
2025-03-01,إيجار,5000,0,35181
2025-03-08,تحويل من عميل - فاتورة,0,21000,56181
2025-03-10,رواتب الموظفين,10000,0,46181
2025-03-14,سداد مورّد,6292,0,39889
2025-03-18,فاتورة كهرباء ومياه,1177,0,38712
2025-03-19,مبيعات نقاط البيع,0,14401,53113
2025-03-28,سداد قسط تمويل,8000,0,45113
2025-04-01,إيجار,5000,0,40113
2025-04-08,تحويل من عميل - فاتورة,0,15075,55188
2025-04-10,رواتب الموظفين,10000,0,45188
2025-04-14,سداد مورّد,6393,0,38795
2025-04-18,فاتورة كهرباء ومياه,1145,0,37650
2025-04-19,مبيعات نقاط البيع,0,10434,48084
2025-04-26,سداد ضريبة القيمة المضافة,2977,0,45107
2025-04-28,سداد قسط تمويل,8000,0,37107
2025-05-01,إيجار,5000,0,32107
2025-05-08,تحويل من عميل - فاتورة,0,19883,51990
2025-05-10,رواتب الموظفين,10000,0,41990
2025-05-14,سداد مورّد,6097,0,35893
2025-05-18,فاتورة كهرباء ومياه,1286,0,34607
2025-05-19,مبيعات نقاط البيع,0,11457,46064
2025-05-28,سداد قسط تمويل,8000,0,38064
2025-06-01,إيجار,5000,0,33064
2025-06-08,تحويل من عميل - فاتورة,0,16649,49713
2025-06-10,رواتب الموظفين,10000,0,39713
2025-06-14,سداد مورّد,6393,0,33320
2025-06-18,فاتورة كهرباء ومياه,1130,0,32190
2025-06-19,مبيعات نقاط البيع,0,11690,43880
2025-06-28,سداد قسط تمويل,8000,0,35880
2025-07-01,إيجار,5000,0,30880
2025-07-08,تحويل من عميل - فاتورة,0,15658,46538
2025-07-10,رواتب الموظفين,10000,0,36538
2025-07-12,شيك مرتجع - رصيد غير كافٍ,1500,0,35038
2025-07-14,سداد مورّد,6162,0,28876
2025-07-18,فاتورة كهرباء ومياه,1194,0,27682
2025-07-19,مبيعات نقاط البيع,0,10817,38499
2025-07-26,سداد ضريبة القيمة المضافة,2858,0,35641
2025-07-28,سداد قسط تمويل,8000,0,27641
2025-08-01,إيجار,5000,0,22641
2025-08-08,تحويل من عميل - فاتورة,0,17973,40614
2025-08-10,رواتب الموظفين,10000,0,30614
2025-08-14,سداد مورّد,5978,0,24636
2025-08-18,فاتورة كهرباء ومياه,1174,0,23462
2025-08-19,مبيعات نقاط البيع,0,11755,35217
2025-08-28,سداد قسط تمويل,8000,0,27217
2025-09-01,إيجار,5000,0,22217
2025-09-08,تحويل من عميل - فاتورة,0,17708,39925
2025-09-10,رواتب الموظفين,10000,0,29925
2025-09-14,سداد مورّد,5821,0,24104
2025-09-18,فاتورة كهرباء ومياه,1214,0,22890
2025-09-19,مبيعات نقاط البيع,0,11681,34571
2025-09-28,سداد قسط تمويل,8000,0,26571
2025-10-01,إيجار,5000,0,21571
2025-10-08,تحويل من عميل - فاتورة,0,14463,36034
2025-10-10,رواتب الموظفين,10000,0,26034
2025-10-14,سداد مورّد,5859,0,20175
2025-10-18,فاتورة كهرباء ومياه,1230,0,18945
2025-10-19,مبيعات نقاط البيع,0,9925,28870
2025-10-26,سداد ضريبة القيمة المضافة,2938,0,25932
2025-10-28,سداد قسط تمويل,8000,0,17932
2025-11-01,إيجار,5000,0,12932
2025-11-08,تحويل من عميل - فاتورة,0,17286,30218
2025-11-10,رواتب الموظفين,10000,0,20218
2025-11-12,شيك مرتجع - رصيد غير كافٍ,1500,0,18718
2025-11-14,سداد مورّد,5916,0,12802
2025-11-18,فاتورة كهرباء ومياه,1278,0,11524
2025-11-19,مبيعات نقاط البيع,0,12007,23531
2025-11-28,سداد قسط تمويل,8000,0,15531
2025-12-01,إيجار,5000,0,10531
2025-12-08,تحويل من عميل - فاتورة,0,15372,25903
2025-12-10,رواتب الموظفين,10000,0,15903
2025-12-14,سداد مورّد,5925,0,9978
2025-12-18,فاتورة كهرباء ومياه,1186,0,8792
2025-12-19,مبيعات نقاط البيع,0,11217,20009
2025-12-28,سداد قسط تمويل,8000,0,12009
