date,description,debit,credit,balance
2025-01-01,إيجار المحل,12000,0,53000
2025-01-07,مبيعات نقاط البيع,0,12804,65804
2025-01-10,تحويل من شركة البيان للتجارة - فاتورة,0,15178,80982
2025-01-12,سداد مورّد,17257,0,63725
2025-01-16,مبيعات نقاط البيع,0,13176,76901
2025-01-18,فاتورة كهرباء ومياه,2367,0,74534
2025-01-22,تحويل من مؤسسة الفجر - فاتورة,0,11505,86039
2025-01-25,مبيعات نقاط البيع,0,14390,100429
2025-01-25,رواتب الموظفين,25000,0,75429
2025-01-27,سداد ضريبة القيمة المضافة (هيئة الزكاة والضريبة),7308,0,68121
2025-01-28,سداد قسط تمويل,8000,0,60121
2025-02-01,إيجار المحل,12000,0,48121
2025-02-07,مبيعات نقاط البيع,0,20131,68252
2025-02-10,تحويل من شركة البيان للتجارة - فاتورة,0,16163,84415
2025-02-12,سداد مورّد,17379,0,67036
2025-02-16,مبيعات نقاط البيع,0,19603,86639
2025-02-18,فاتورة كهرباء ومياه,2405,0,84234
2025-02-22,تحويل من مؤسسة الفجر - فاتورة,0,12728,96962
2025-02-25,مبيعات نقاط البيع,0,20188,117150
2025-02-25,رواتب الموظفين,25000,0,92150
2025-02-28,سداد قسط تمويل,8000,0,84150
2025-03-01,إيجار المحل,12000,0,72150
2025-03-07,مبيعات نقاط البيع,0,19510,91660
2025-03-10,تحويل من شركة البيان للتجارة - فاتورة,0,15473,107133
2025-03-12,سداد مورّد,18242,0,88891
2025-03-16,مبيعات نقاط البيع,0,19042,107933
2025-03-18,فاتورة كهرباء ومياه,2392,0,105541
2025-03-22,تحويل من مؤسسة الفجر - فاتورة,0,12167,117708
2025-03-25,مبيعات نقاط البيع,0,21905,139613
2025-03-25,رواتب الموظفين,25000,0,114613
2025-03-28,سداد قسط تمويل,8000,0,106613
2025-04-01,إيجار المحل,12000,0,94613
2025-04-07,مبيعات نقاط البيع,0,13436,108049
2025-04-10,تحويل من شركة البيان للتجارة - فاتورة,0,16444,124493
2025-04-12,سداد مورّد,18031,0,106462
2025-04-16,مبيعات نقاط البيع,0,13038,119500
2025-04-18,فاتورة كهرباء ومياه,2528,0,116972
2025-04-22,تحويل من مؤسسة الفجر - فاتورة,0,12262,129234
2025-04-25,مبيعات نقاط البيع,0,14762,143996
2025-04-25,رواتب الموظفين,25000,0,118996
2025-04-27,سداد ضريبة القيمة المضافة (هيئة الزكاة والضريبة),6619,0,112377
2025-04-28,سداد قسط تمويل,8000,0,104377
2025-05-01,إيجار المحل,12000,0,92377
2025-05-07,مبيعات نقاط البيع,0,14221,106598
2025-05-10,تحويل من شركة البيان للتجارة - فاتورة,0,17073,123671
2025-05-12,سداد مورّد,18666,0,105005
2025-05-16,مبيعات نقاط البيع,0,12966,117971
2025-05-18,فاتورة كهرباء ومياه,2441,0,115530
2025-05-22,تحويل من مؤسسة الفجر - فاتورة,0,13684,129214
2025-05-25,مبيعات نقاط البيع,0,14331,143545
2025-05-25,رواتب الموظفين,25000,0,118545
2025-05-28,سداد قسط تمويل,8000,0,110545
2025-06-01,إيجار المحل,12000,0,98545
2025-06-07,مبيعات نقاط البيع,0,13610,112155
2025-06-10,تحويل من شركة البيان للتجارة - فاتورة,0,15752,127907
2025-06-12,سداد مورّد,16994,0,110913
2025-06-16,مبيعات نقاط البيع,0,14054,124967
2025-06-18,فاتورة كهرباء ومياه,2623,0,122344
2025-06-22,تحويل من مؤسسة الفجر - فاتورة,0,13192,135536
2025-06-25,مبيعات نقاط البيع,0,15289,150825
2025-06-25,رواتب الموظفين,25000,0,125825
2025-06-28,سداد قسط تمويل,8000,0,117825
2025-07-01,إيجار المحل,12000,0,105825
2025-07-07,مبيعات نقاط البيع,0,14139,119964
2025-07-10,تحويل من شركة البيان للتجارة - فاتورة,0,16840,136804
2025-07-12,سداد مورّد,17319,0,119485
2025-07-16,مبيعات نقاط البيع,0,14273,133758
2025-07-18,فاتورة كهرباء ومياه,2641,0,131117
2025-07-22,تحويل من مؤسسة الفجر - فاتورة,0,13515,144632
2025-07-25,مبيعات نقاط البيع,0,15326,159958
2025-07-25,رواتب الموظفين,25000,0,134958
2025-07-27,سداد ضريبة القيمة المضافة (هيئة الزكاة والضريبة),7231,0,127727
2025-07-28,سداد قسط تمويل,8000,0,119727
2025-08-01,إيجار المحل,12000,0,107727
2025-08-07,مبيعات نقاط البيع,0,15602,123329
2025-08-10,تحويل من شركة البيان للتجارة - فاتورة,0,17966,141295
2025-08-12,سداد مورّد,17343,0,123952
2025-08-16,مبيعات نقاط البيع,0,14925,138877
2025-08-18,فاتورة كهرباء ومياه,2364,0,136513
2025-08-22,تحويل من مؤسسة الفجر - فاتورة,0,13004,149517
2025-08-25,مبيعات نقاط البيع,0,16147,165664
2025-08-25,رواتب الموظفين,25000,0,140664
2025-08-28,سداد قسط تمويل,8000,0,132664
2025-09-01,إيجار المحل,12000,0,120664
2025-09-07,مبيعات نقاط البيع,0,14764,135428
2025-09-10,تحويل من شركة البيان للتجارة - فاتورة,0,18086,153514
2025-09-12,سداد مورّد,17527,0,135987
2025-09-16,مبيعات نقاط البيع,0,14306,150293
2025-09-18,فاتورة كهرباء ومياه,2513,0,147780
2025-09-22,تحويل من مؤسسة الفجر - فاتورة,0,13681,161461
2025-09-25,مبيعات نقاط البيع,0,15794,177255
2025-09-25,رواتب الموظفين,25000,0,152255
2025-09-28,سداد قسط تمويل,8000,0,144255
2025-10-01,إيجار المحل,12000,0,132255
2025-10-07,مبيعات نقاط البيع,0,14679,146934
2025-10-10,تحويل من شركة البيان للتجارة - فاتورة,0,18734,165668
2025-10-12,سداد مورّد,17349,0,148319
2025-10-16,مبيعات نقاط البيع,0,15285,163604
2025-10-18,فاتورة كهرباء ومياه,2352,0,161252
2025-10-22,تحويل من مؤسسة الفجر - فاتورة,0,14623,175875
2025-10-25,مبيعات نقاط البيع,0,15677,191552
2025-10-25,رواتب الموظفين,25000,0,166552
2025-10-27,سداد ضريبة القيمة المضافة (هيئة الزكاة والضريبة),7265,0,159287
2025-10-28,سداد قسط تمويل,8000,0,151287
2025-11-01,إيجار المحل,12000,0,139287
2025-11-07,مبيعات نقاط البيع,0,15987,155274
2025-11-10,تحويل من شركة البيان للتجارة - فاتورة,0,17080,172354
2025-11-12,سداد مورّد,17170,0,155184
2025-11-16,مبيعات نقاط البيع,0,15412,170596
2025-11-18,فاتورة كهرباء ومياه,2609,0,167987
2025-11-22,تحويل من مؤسسة الفجر - فاتورة,0,14155,182142
2025-11-25,مبيعات نقاط البيع,0,17347,199489
2025-11-25,رواتب الموظفين,25000,0,174489
2025-11-28,سداد قسط تمويل,8000,0,166489
2025-12-01,إيجار المحل,12000,0,154489
2025-12-07,مبيعات نقاط البيع,0,16095,170584
2025-12-10,تحويل من شركة البيان للتجارة - فاتورة,0,17885,188469
2025-12-12,سداد مورّد,18496,0,169973
2025-12-16,مبيعات نقاط البيع,0,14941,184914
2025-12-18,فاتورة كهرباء ومياه,2541,0,182373
2025-12-22,تحويل من مؤسسة الفجر - فاتورة,0,14333,196706
2025-12-25,مبيعات نقاط البيع,0,16185,212891
2025-12-25,رواتب الموظفين,25000,0,187891
2025-12-28,سداد قسط تمويل,8000,0,179891
